Street,Event,Event Date/Time,Event Nature,P
1 INFORMATION ST,Call,8/4/14 3:33,DOMESTIC DISTURBANCE,0.8
100 BRENTWOOD ST/E KIVETT DR,Call,10/10/11 9:03,DOMESTIC DISTURBANCE,0.8
100 BRIGGS PL/W KIVETT DR,Call,5/10/13 12:31,DOMESTIC DISTURBANCE,0.8
100 E COMMERCE AV/S MAIN ST,Call,6/19/11 10:06,DOMESTIC DISTURBANCE,0.8
100 E COMMERCE AV/S MAIN ST,Report,6/19/11 22:06,DOMESTIC DISTUR,0.8
100 E LEXINGTON AV/N MAIN ST,Call,12/29/13 6:59,DOMESTIC DISTURBANCE,0.8
100 E PEACHTREE DR,Call,12/15/11 8:55,DOMESTIC DISTURBANCE,0.8
100 EASTCHESTER DR/N MAIN ST,Call,4/13/13 6:47,DOMESTIC DISTURBANCE,0.8
100 EASTCHESTER DR/N MAIN ST,Call,2/9/12 10:17,DOMESTIC DISTURBANCE,0.8
100 EDGEWORTH ST/W KIVETT DR,Call,12/19/12 9:52,DOMESTIC DISTURBANCE,0.8
100 GREENSBORO RD,Call,1/31/12 3:54,DOMESTIC DISTURBANCE,0.8
100 HODGIN ST,Call,1/7/12 12:37,DOMESTIC DISTURBANCE,0.8
100 JAMES RD/E HARTLEY DR,Call,5/11/12 7:54,DOMESTIC DISTURBANCE IP,0.8
100 LASSITER DR/EASTCHESTER DR,Call,10/16/11 9:31,DOMESTIC DISTURBANCE,0.8
100 LINDSAY PL,Call,6/1/11 5:03,DOMESTIC DISTURBANCE,0.8
100 MURRAY ST/N HOSKINS ST,Call,7/9/14 10:43,DOMESTIC DISTURBANCE,0.8
100 N ELM ST,Call,9/6/13 2:28,DOMESTIC DISTURBANCE IP,0.8
100 N ELM ST,Report,9/6/13 14:25,DOMESTIC DISTUR,0.8
100 NORTHGATE CT,Call,7/7/13 9:48,DOMESTIC DISTURBANCE IP,0.8
100 NORTHGATE CT,Call,5/31/12 7:21,DOMESTIC DISTURBANCE IP,0.8
100 NORTHGATE CT/N MAIN ST,Call,11/22/12 4:51,DOMESTIC DISTURBANCE,0.8
100 PRICE ST,Call,9/29/14 3:20,DOMESTIC DISTURBANCE IP,0.8
100 PRICE ST/LEONARD AV,Call,1/6/13 2:42,DOMESTIC DISTURBANCE IP,0.8
100 S LINDSAY ST,Call,10/7/11 7:04,DOMESTIC DISTURBANCE,0.8
100 S WEST POINT AV/W ENGLISH RD,Call,11/22/12 5:22,DOMESTIC DISTURBANCE,0.8
100 SKEET CLUB RD/N MAIN ST,Arrest,2/29/12 21:12,DRIVE WHILE LICENSE SUSPENDED OR REVOKED,0.8
100 SKEET CLUB RD/N MAIN ST,Arrest,4/12/13 7:30,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
100 SKEET CLUB RD/N MAIN ST,Arrest,11/29/12 14:45,POSSESSION OF DRUG PARAPHERNALIA,0.8
100 SKEET CLUB RD/N MAIN ST,Arrest,11/29/12 14:45,POSSESSION OF CONTROLLED SUBSTANCE,0.8
100 SKEET CLUB RD/N MAIN ST,Arrest,4/14/13 11:28,VIO.OF RESTRICTIONS ON RELEASE ORDER,0.8
100 SKEET CLUB RD/N MAIN ST,Call,4/12/13 7:15,DOMESTIC DISTURBANCE,0.8
100 SKEET CLUB RD/N MAIN ST,Report,4/12/13 7:15,DOMESTIC DISTUR,0.8
100 UNDERHILL ST/WASHINGTON ST,Call,5/20/13 5:44,DOMESTIC DISTURBANCE IP,0.8
100 W ENGLISH RD/N MAIN ST,Call,10/9/13 4:48,DOMESTIC DISTURBANCE,0.8
100 W HIGH AV,Call,9/4/13 12:08,DOMESTIC DISTURBANCE IP,0.8
100 W HIGH AV,Call,7/5/12 2:28,DOMESTIC DISTURBANCE IP,0.8
100 W HIGH AV,Report,3/28/12 9:00,DOMESTIC DISTUR,0.8
100 W HIGH AV,Report,7/5/12 2:28,DOMESTIC DISTUR,0.8
100 WESTCHESTER DR/N MAIN ST,Call,11/11/12 12:22,DOMESTIC DISTURBANCE,0.8
100 WESTCHESTER DR/N MAIN ST,Call,6/9/11 5:29,DOMESTIC DISTURBANCE,0.8
100-A HENDERSON ST,Call,9/1/14 9:39,DOMESTIC DISTURBANCE,0.8
100-A HENDERSON ST,Call,7/27/13 10:15,DOMESTIC DISTURBANCE,0.8
100-BLK DOROTHY ST,Call,5/20/14 1:15,DOMESTIC DISTURBANCE,0.8
100-BLK DOROTHY ST,Report,5/19/14 14:00,DOMESTIC DISTUR,0.8
100-BLK E DAYTON AV,Call,6/19/11 8:27,DOMESTIC DISTURBANCE,0.8
100-BLK HAY ST,Arrest,2/21/13 21:30,AFFRAY OR SIMPLE ASSAULT,0.8
100-BLK HAY ST,Call,2/21/13 8:52,DOMESTIC DISTURBANCE IP,0.8
100-BLK HAY ST,Report,2/21/13 20:52,DOMESTIC DISTUR,0.8
100-BLK JAMES RD,Call,9/12/12 10:59,DOMESTIC DISTURBANCE IP,0.8
100-BLK KENDALL AV,Call,6/28/13 11:29,DOMESTIC DISTURBANCE IP,0.8
100-BLK KENDALL AV,Report,6/28/13 23:29,SUSPICIOUS VEHI,0.8
100-BLK KENILWORTH DR,Call,1/1/12 2:56,DOMESTIC DISTURBANCE IP,0.8
100-BLK OLD WINSTON RD,Call,12/12/11 5:20,DOMESTIC DISTURBANCE,0.8
100-BLK S HALL ST,Call,12/29/13 6:38,DOMESTIC DISTURBANCE,0.8
100-BLK SKEET CLUB RD,Call,6/23/14 1:24,DOMESTIC DISTURBANCE,0.8
100-BLK WESTOVER DR,Call,7/2/14 8:58,DOMESTIC DISTURBANCE,0.8
100-H WOODBEND CT,Call,8/23/12 12:22,DOMESTIC DISTURBANCE,0.8
1000 ADAMS ST/ALLRED PL,Call,5/21/13 9:59,DOMESTIC DISTURBANCE,0.8
1000 CHARLOTTE AV,Call,7/8/11 4:05,DOMESTIC DISTURBANCE,0.8
1000 FLINTWOOD CT,Call,4/27/11 4:56,DOMESTIC DISTURBANCE,0.8
1000 GORDON ST,Call,7/5/14 12:54,DOMESTIC DISTURBANCE IP,0.8
1000 GORDON ST,Call,6/21/14 1:46,DOMESTIC DISTURBANCE IP,0.8
1000 GORDON ST,Call,9/15/13 1:25,DOMESTIC DISTURBANCE IP,0.8
1000 GORDON ST,Call,3/17/13 2:34,DOMESTIC DISTURBANCE,0.8
1000 GORDON ST,Report,6/25/13 15:10,VANDALISM-HPD,0.8
1000 GORDON ST,Report,6/21/14 1:46,DOMESTIC DISTUR,0.8
1000 MALL LOOP RD,Call,3/17/13 9:34,DOMESTIC DISTURBANCE IP,0.8
1000 MALL LOOP RD,Call,2/26/12 2:36,DOMESTIC DISTURBANCE IP,0.8
1000 PARK ST,Arrest,7/16/13 21:12,COMMUNICATING THREATS,0.8
1000 PARK ST,Call,7/16/13 7:44,DOMESTIC DISTURBANCE IP,0.8
1000 PARK ST,Report,7/16/13 21:11,DOMESTIC DISTUR,0.8
1000 RICHLAND ST,Arrest,5/19/12 10:15,BREAKING AND ENTERING - BUILDING  (MISDEMEANOR),0.8
1000 RICHLAND ST,Arrest,8/12/11 0:46,FAILURE TO APPEAR,0.8
1000 RICHLAND ST,Arrest,8/11/11 8:23,FAILURE TO APPEAR,0.8
1000 RICHLAND ST,Arrest,4/2/12 15:45,FAILURE TO APPEAR,0.8
1000 RICHLAND ST,Arrest,5/19/12 10:15,POSSESS SCHEDULE VI,0.8
1000 RICHLAND ST,Arrest,11/25/11 17:00,ASSAULT INFLICTING SERIOUS INJURY OR AWDW,0.8
1000 RICHLAND ST,Arrest,11/25/11 17:00,POSSESS CONTROL SUBSTANCE SCHEDULE VI,0.8
1000 RICHLAND ST,Arrest,5/19/12 10:15,FAILURE TO APPEAR,0.8
1000 RICHLAND ST,Arrest,5/19/12 10:15,AFFRAY OR SIMPLE ASSAULT,0.8
1000 RICHLAND ST,Call,5/19/12 9:16,DOMESTIC DISTURBANCE IP,0.8
1000 RICHLAND ST,Report,12/5/11 16:00,ASSAULT,0.8
1000 RICHLAND ST,Report,5/19/12 9:15,DOMESTIC DISTUR,0.8
1000 ROBERTS LN,Call,8/10/12 6:25,DOMESTIC DISTURBANCE IP,0.8
1000 S MAIN ST,Arrest,2/2/13 0:42,ASSAULT & BATTERY,0.8
1000 S MAIN ST,Arrest,4/28/14 0:40,FAILURE TO APPEAR,0.8
1000 S MAIN ST,Arrest,4/28/14 0:40,FAILURE TO APPEAR,0.8
