"","yp","Street"
"1",-2.18914481704141,"100 SKEET CLUB RD/N MAIN ST"
"2",-2.86056229101699,"100 SKEET CLUB RD/N MAIN ST"
"3",-2.86056231649804,"100 SKEET CLUB RD/N MAIN ST"
"4",-2.86056234197909,"100 SKEET CLUB RD/N MAIN ST"
"5",-2.86056236746014,"100 SKEET CLUB RD/N MAIN ST"
"6",-2.86056239294119,"100 SKEET CLUB RD/N MAIN ST"
"7",-2.86056241842224,"100 SKEET CLUB RD/N MAIN ST"
"8",-2.86056244390328,"100 SKEET CLUB RD/N MAIN ST"
"9",-2.86056246938433,"100 SKEET CLUB RD/N MAIN ST"
"10",-2.86056249486538,"100 SKEET CLUB RD/N MAIN ST"
"11",-2.86056252034643,"100 SKEET CLUB RD/N MAIN ST"
"12",-2.86056254582748,"100 SKEET CLUB RD/N MAIN ST"
"13",-2.91364049138916,"100 SKEET CLUB RD/N MAIN ST"
"14",-2.91364051687021,"100 SKEET CLUB RD/N MAIN ST"
"15",-2.91364054235126,"100 SKEET CLUB RD/N MAIN ST"
"16",-2.91364056783231,"100 SKEET CLUB RD/N MAIN ST"
"17",-2.91364059331336,"100 SKEET CLUB RD/N MAIN ST"
"18",-2.91364061879441,"100 SKEET CLUB RD/N MAIN ST"
"19",-2.91364064427546,"100 SKEET CLUB RD/N MAIN ST"
"20",-3.24382412670563,"100 W HIGH AV"
"21",-3.24382406790025,"100 W HIGH AV"
"22",-3.24382400909487,"100 W HIGH AV"
"23",-3.2438239502895,"100 W HIGH AV"
"24",-3.24382389148412,"100 W HIGH AV"
"25",-3.24382383267874,"100 W HIGH AV"
"26",-3.09165896171433,"100 W HIGH AV"
"27",-3.09165890290895,"100 W HIGH AV"
"28",-3.09165884410357,"100 W HIGH AV"
"29",-3.0916587852982,"100 W HIGH AV"
"30",-3.09165872649282,"100 W HIGH AV"
"31",-3.09165866768744,"100 W HIGH AV"
"32",-3.09165860888206,"100 W HIGH AV"
"33",-3.09814497020792,"100 W HIGH AV"
"34",-3.09814491140255,"100 W HIGH AV"
"35",-3.09814485259717,"100 W HIGH AV"
"36",-2.3114075924029,"100 W HIGH AV"
"37",-2.31140784097669,"100 W HIGH AV"
"38",-2.31140808955048,"100 W HIGH AV"
"39",-3.14462635523974,"100-BLK HAY ST"
"40",-3.14462638072079,"100-BLK HAY ST"
"41",-3.14462640620184,"100-BLK HAY ST"
"42",-3.14462643168289,"100-BLK HAY ST"
"43",-3.14462645716394,"100-BLK HAY ST"
"44",-3.14462648264499,"100-BLK HAY ST"
